CTV3ID,CTV3PreferredTermDesc
Y228f,Self-isolation to prevent exposure of community to contagion
Y22a7,Household isolation to prevent exposure of community to contagion
Y22ac,Has National Health Service digital isolation note (finding)
Y22a6,Household isolation note issued to patient (finding)
Y22ad,Self-isolation note issued to patient (finding)
Y212d,Advice given about severe acute respiratory syndrome coronavirus 2 infection (situation)
Y212c,Advice given about severe acute respiratory syndrome coronavirus 2 by telephone (situation)
Y212e,Educated about severe acute respiratory syndrome coronavirus 2 infection (situation)
Y211b,Telephone consultation for suspected severe acute respiratory syndrome coronavirus 2 (procedure)
Y22b9,Patient waiting to be tested for Covid-19
Y245b,Assessment using exertional desaturation test (procedure)
Y244f,Assessment using 1-minute sit-to-stand test (procedure)
Y245a,Assessment using 40-step test (procedure)
Y244b,1-minute sit-to-stand test score (observable entity)
Y244d,40-step test score (observable entity)
Y245e,Peripheral blood oxygen saturation level on room air on exertion decreased (finding)
Y246a,Peripheral blood oxygen saturation level on supplemental oxygen on exertion decreased (finding)
Y245f,Peripheral blood oxygen saturation level on room air on exertion unchanged (finding)
Y246b,Peripheral blood oxygen saturation level on supplemental oxygen on exertion unchanged (finding)
Y229d,Swab for severe acute respiratory syndrome coronavirus 2 taken by healthcare professional (situation)
Y22a0,Taking of swab for severe acute respiratory syndrome coronavirus 2 (procedure)
Y229b,Swab for severe acute respiratory syndrome coronavirus 2 taken by subject (situation)
Y229a,Self-taking of swab for severe acute respiratory syndrome coronavirus 2 offered (situation)
Y22af,Self-taking of swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) completed
Y241a,Severe acute respiratory syndrome coronavirus 2 species detection test (procedure)
Y240d,Central laboratory severe acute respiratory syndrome coronavirus 2 species detection test (procedure)
Y240f,Point of care severe acute respiratory syndrome coronavirus 2 species detection test (procedure)
Xaboe,Coronavirus ribonucleic acid detection assay
Xab7a,Coronavirus nucleic acid detection assay
Y210e,Detection of severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction technique (procedure)
Y211a,Measurement of severe acute respiratory syndrome coronavirus 2 antigen (procedure)
Y23f5,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result equivocal
Y23f6,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result unknown
Y23f5,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result equivocal
Y23f6,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result unknown
Y22b8,Patient reported having already had Covid-19 in the recent past (tested)
Y22b7,Patient reported having already had Covid-19 in the recent past (not tested)
Y20cf,Suspected coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (situation)
XaaNq,Suspected coronavirus infection
