parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"suspected"	""
"2.eth5"	"Eth 5 categories"	.96201172	.00503858	-7.3944258	1.420e-13	.9521868	.97193802	"crude"	"suspected"	""
"3.eth5"	"Eth 5 categories"	.96570077	.00851191	-3.9596468	.00007506	.94916101	.98252875	"crude"	"suspected"	""
"4.eth5"	"Eth 5 categories"	.87495526	.0113505	-10.297233	7.252e-25	.85298913	.89748706	"crude"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.56861744	.00665162	-48.260613	0	.55572881	.58180499	"crude"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.1008546	.00608305	17.388906	1.001e-67	1.0889964	1.112842	"model0"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.1225126	.010081	12.8686	6.762e-38	1.1029271	1.1424459	"model0"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0452985	.01364232	3.3945344	.00068745	1.0188991	1.0723819	"model0"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.69101724	.00816495	-31.279239	8.94e-215	.67519811	.70720699	"model0"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"suspected"	""
"1.male"	"Male"	.72539051	.00208712	-111.58086	0	.72131133	.72949275	"model0"	"suspected"	""
"age1"	"Age spline 1"	1.0165112	.00047573	34.992011	2.98e-268	1.0155792	1.017444	"model0"	"suspected"	""
"age2"	"Age spline 2"	.98037656	.00143618	-13.528688	1.059e-41	.97756573	.98319546	"model0"	"suspected"	""
"age3"	"Age spline 3"	1.0762731	.00434616	18.202403	4.939e-74	1.0677884	1.0848252	"model0"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0383874	.00581223	6.7297713	1.699e-11	1.0270579	1.0498419	"model1"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.0399104	.00944916	4.306883	.00001656	1.0215543	1.0585963	"model1"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0068178	.01324402	.51653287	.60548228	.98119174	1.0331131	"model1"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.67352214	.00800508	-33.253775	1.80e-242	.6580138	.68939598	"model1"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"suspected"	""
"1.male"	"Male"	.72493115	.00209547	-111.28505	0	.72083571	.72904986	"model1"	"suspected"	""
"age1"	"Age spline 1"	1.0174396	.00048036	36.619885	1.38e-293	1.0164985	1.0183815	"model1"	"suspected"	""
"age2"	"Age spline 2"	.98092402	.00144734	-13.053509	6.069e-39	.97809139	.98376486	"model1"	"suspected"	""
"age3"	"Age spline 3"	1.0730996	.00436098	17.360427	1.645e-67	1.0645862	1.0816811	"model1"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0755624	.00507641	15.433723	9.710e-54	1.0656587	1.0855582	"model1"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2152975	.00565735	41.88705	0	1.2042597	1.2264364	"model1"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3442051	.00625167	63.60212	0	1.3320077	1.3565142	"model1"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4206596	.00687207	72.587137	0	1.4072542	1.4341927	"model1"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0691145	.0066793	10.697184	1.049e-26	1.0561032	1.0822862	"model2"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.0931842	.0109037	8.9324724	4.166e-19	1.0720209	1.1147653	"model2"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0421604	.01491358	2.8857551	.00390476	1.0133365	1.0718043	"model2"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.78671692	.01021228	-18.480006	2.991e-76	.7669537	.80698942	"model2"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"suspected"	""
"1.male"	"Male"	.74726593	.00235325	-92.512235	0	.74266786	.75189247	"model2"	"suspected"	""
"age1"	"Age spline 1"	1.0078559	.00056141	14.047859	7.940e-45	1.0067561	1.0089569	"model2"	"suspected"	""
"age2"	"Age spline 2"	.97029159	.00165322	-17.700445	4.160e-70	.96705674	.97353725	"model2"	"suspected"	""
"age3"	"Age spline 3"	1.0985888	.0051171	20.186489	1.287e-90	1.0886051	1.108664	"model2"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0380204	.00520315	7.4443773	9.740e-14	1.0278724	1.0482687	"model2"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1380619	.00564598	26.068421	8.32e-150	1.1270496	1.1491817	"model2"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2101907	.00603584	38.251125	0	1.1984183	1.2220788	"model2"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.2121543	.00636381	36.647454	5.02e-294	1.1997454	1.2246915	"model2"	"suspected"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0147413	.00027302	54.38926	0	1.0142063	1.0152765	"model2"	"suspected"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.013587	.00004644	294.56501	0	1.013496	1.013678	"model2"	"suspected"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"suspected"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1202305	.00392116	32.435506	8.67e-231	1.1125714	1.1279422	"model2"	"suspected"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0925113	.0050053	19.312379	4.226e-83	1.082745	1.1023656	"model2"	"suspected"	""
"0b.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1	0			1	1	"model2"	"suspected"	""
"1.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1.1744012	.00448514	42.093418	0	1.1656433	1.1832249	"model2"	"suspected"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"suspected"	""
"chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.9316182	.00970485	131.03717	0	1.9126904	1.9507333	"model2"	"suspected"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"suspected"	""
