outcome	model	eth5	estimate	p	min95	max95	idstr4	num	adjusted
"suspected"	"crude"	"White"	1		1	1	""	1	"Crude"
"suspected"	"crude"	"South Asian"	.94492389	2.016e-25	.93490811	.95504698	""	2	"Crude"
"suspected"	"crude"	"Black"	.95918839	4.638e-06	.9422384	.9764433	""	3	"Crude"
"suspected"	"crude"	"Mixed"	.86805233	4.665e-26	.8455469	.89115677	""	4	"Crude"
"suspected"	"crude"	"Other"	.57055111	0	.55726577	.58415318	""	5	"Crude"
"suspected"	"model0"	"White"	1		1	1	""	6	"Age-sex"
"suspected"	"model0"	"South Asian"	1.0924649	1.185e-53	1.0802542	1.1048136	""	7	"Age-sex"
"suspected"	"model0"	"Black"	1.1236709	2.818e-36	1.1034377	1.1442752	""	8	"Age-sex"
"suspected"	"model0"	"Mixed"	1.0514573	.00019862	1.0240298	1.0796194	""	9	"Age-sex"
"suspected"	"model0"	"Other"	.70156393	3.60e-187	.68505823	.71846732	""	10	"Age-sex"
"suspected"	"model1"	"White"	1		1	1	""	11	"Age-sex-IMD"
"suspected"	"model1"	"South Asian"	1.0292817	6.713e-07	1.017632	1.0410648	""	12	"Age-sex-IMD"
"suspected"	"model1"	"Black"	1.0392918	.0000397	1.0203619	1.0585729	""	13	"Age-sex-IMD"
"suspected"	"model1"	"Mixed"	1.0118675	.38535549	.98527007	1.0391829	""	14	"Age-sex-IMD"
"suspected"	"model1"	"Other"	.68289419	8.17e-214	.66673068	.69944955	""	15	"Age-sex-IMD"
"suspected"	"model2"	"White"	1		1	1	""	16	"+ co-morbidities"
"suspected"	"model2"	"South Asian"	1.0149698	.0281972	1.0015895	1.0285289	""	17	"+ co-morbidities"
"suspected"	"model2"	"Black"	1.0634113	1.486e-08	1.0410227	1.0862814	""	18	"+ co-morbidities"
"suspected"	"model2"	"Mixed"	1.0377963	.01942437	1.0060072	1.07059	""	19	"+ co-morbidities"
"suspected"	"model2"	"Other"	.88048259	8.854e-19	.85600554	.90565955	""	20	"+ co-morbidities"
"suspected"	"model3"	"White"	1		1	1	""	21	"+ household size"
"suspected"	"model3"	"South Asian"	1.0107094	.12328012	.99710933	1.024495	""	22	"+ household size"
"suspected"	"model3"	"Black"	1.0628539	2.045e-08	1.0404507	1.0857395	""	23	"+ household size"
"suspected"	"model3"	"Mixed"	1.0376662	.01985512	1.0058768	1.0704602	""	24	"+ household size"
"suspected"	"model3"	"Other"	.87934205	4.129e-19	.85488227	.90450168	""	25	"+ household size"
"confirmed"	"crude"	"White"	1		1	1	""	26	"Crude"
"confirmed"	"crude"	"South Asian"	2.0743812	0	2.0144571	2.1360879	""	27	"Crude"
"confirmed"	"crude"	"Black"	1.4359206	1.962e-35	1.3562508	1.5202704	""	28	"Crude"
"confirmed"	"crude"	"Mixed"	1.017931	.71243453	.92613907	1.1188206	""	29	"Crude"
"confirmed"	"crude"	"Other"	.85253064	.00003442	.79053796	.91938468	""	30	"Crude"
"confirmed"	"model0"	"White"	1		1	1	""	31	"Age-sex"
"confirmed"	"model0"	"South Asian"	2.5684965	0	2.4869466	2.6527206	""	32	"Age-sex"
"confirmed"	"model0"	"Black"	1.8591414	1.450e-95	1.7533326	1.9713355	""	33	"Age-sex"
"confirmed"	"model0"	"Mixed"	1.5190388	7.505e-18	1.3810903	1.6707662	""	34	"Age-sex"
"confirmed"	"model0"	"Other"	1.2660936	1.549e-09	1.1727658	1.3668484	""	35	"Age-sex"
"confirmed"	"model1"	"White"	1		1	1	""	36	"Age-sex-IMD"
"confirmed"	"model1"	"South Asian"	2.3631963	0	2.2868193	2.4421241	""	37	"Age-sex-IMD"
"confirmed"	"model1"	"Black"	1.6700881	1.228e-64	1.5740684	1.7719651	""	38	"Age-sex-IMD"
"confirmed"	"model1"	"Mixed"	1.4354187	1.429e-13	1.3042631	1.5797632	""	39	"Age-sex-IMD"
"confirmed"	"model1"	"Other"	1.2109632	1.089e-06	1.1212642	1.307838	""	40	"Age-sex-IMD"
"confirmed"	"model2"	"White"	1		1	1	""	41	"+ co-morbidities"
"confirmed"	"model2"	"South Asian"	2.0613254	2.21e-284	1.9818046	2.144037	""	42	"+ co-morbidities"
"confirmed"	"model2"	"Black"	1.5551352	4.580e-37	1.4528456	1.6646266	""	43	"+ co-morbidities"
"confirmed"	"model2"	"Mixed"	1.5093682	8.408e-14	1.3547032	1.6816912	""	44	"+ co-morbidities"
"confirmed"	"model2"	"Other"	1.4220098	3.337e-14	1.2983452	1.5574533	""	45	"+ co-morbidities"
"confirmed"	"model3"	"White"	1		1	1	""	46	"+ household size"
"confirmed"	"model3"	"South Asian"	1.8311285	2.70e-188	1.7584303	1.9068322	""	47	"+ household size"
"confirmed"	"model3"	"Black"	1.5174568	4.178e-33	1.4174294	1.6245431	""	48	"+ household size"
"confirmed"	"model3"	"Mixed"	1.4871589	6.325e-13	1.3347347	1.6569896	""	49	"+ household size"
"confirmed"	"model3"	"Other"	1.3686762	1.422e-11	1.2495585	1.4991492	""	50	"+ household size"
"tested"	"crude"	"White"	1		1	1	""	51	"Crude"
"tested"	"crude"	"South Asian"	1.0601918	1.007e-44	1.0515708	1.0688834	""	52	"Crude"
"tested"	"crude"	"Black"	.93952064	4.190e-17	.92595564	.95328437	""	53	"Crude"
"tested"	"crude"	"Mixed"	.90397547	1.733e-21	.88538096	.9229605	""	54	"Crude"
"tested"	"crude"	"Other"	.62336358	0	.61212879	.63480457	""	55	"Crude"
"tested"	"model0"	"White"	1		1	1	""	56	"Age-sex"
"tested"	"model0"	"South Asian"	1.1356764	3.18e-182	1.125881	1.145557	""	57	"Age-sex"
"tested"	"model0"	"Black"	1.0559604	5.731e-13	1.0404383	1.0717139	""	58	"Age-sex"
"tested"	"model0"	"Mixed"	1.0382845	.00042891	1.0167998	1.060223	""	59	"Age-sex"
"tested"	"model0"	"Other"	.71046559	4.68e-291	.69752958	.7236415	""	60	"Age-sex"
"tested"	"model1"	"White"	1		1	1	""	61	"Age-sex-IMD"
"tested"	"model1"	"South Asian"	1.1073569	1.03e-114	1.097677	1.1171222	""	62	"Age-sex-IMD"
"tested"	"model1"	"Black"	1.0200721	.0093364	1.0049012	1.0354721	""	63	"Age-sex-IMD"
"tested"	"model1"	"Mixed"	1.019959	.06626087	.99867407	1.0416975	""	64	"Age-sex-IMD"
"tested"	"model1"	"Other"	.70120187	0	.68833649	.71430771	""	65	"Age-sex-IMD"
"tested"	"model2"	"White"	1		1	1	""	66	"+ co-morbidities"
"tested"	"model2"	"South Asian"	1.0724403	1.376e-38	1.061184	1.083816	""	67	"+ co-morbidities"
"tested"	"model2"	"Black"	1.0376649	.0000454	1.0193891	1.0562682	""	68	"+ co-morbidities"
"tested"	"model2"	"Mixed"	1.038781	.00337165	1.0126907	1.0655435	""	69	"+ co-morbidities"
"tested"	"model2"	"Other"	.86637408	9.685e-35	.84678792	.88641327	""	70	"+ co-morbidities"
"tested"	"model3"	"White"	1		1	1	""	71	"+ household size"
"tested"	"model3"	"South Asian"	1.0372392	2.691e-11	1.0261426	1.0484558	""	72	"+ household size"
"tested"	"model3"	"Black"	1.0325896	.00041225	1.0143767	1.0511294	""	73	"+ household size"
"tested"	"model3"	"Mixed"	1.0376807	.00437727	1.0116146	1.0644185	""	74	"+ household size"
"tested"	"model3"	"Other"	.85935226	1.497e-38	.83991369	.8792407	""	75	"+ household size"
"positivetest"	"crude"	"White"	1		1	1	""	76	"Crude"
"positivetest"	"crude"	"South Asian"	2.1310331	0	2.0834229	2.1797313	""	77	"Crude"
"positivetest"	"crude"	"Black"	1.6210616	1.60e-112	1.554384	1.6905995	""	78	"Crude"
"positivetest"	"crude"	"Mixed"	1.1706076	7.156e-06	1.0928031	1.2539515	""	79	"Crude"
"positivetest"	"crude"	"Other"	.9203974	.00413078	.86967399	.97407923	""	80	"Crude"
"positivetest"	"model0"	"White"	1		1	1	""	81	"Age-sex"
"positivetest"	"model0"	"South Asian"	2.4483647	0	2.388545	2.5096826	""	82	"Age-sex"
"positivetest"	"model0"	"Black"	2.0171003	4.84e-223	1.9319409	2.1060136	""	83	"Age-sex"
"positivetest"	"model0"	"Mixed"	1.5689514	3.702e-37	1.4638893	1.6815537	""	84	"Age-sex"
"positivetest"	"model0"	"Other"	1.2279298	2.463e-12	1.1593766	1.3005365	""	85	"Age-sex"
"positivetest"	"model1"	"White"	1		1	1	""	86	"Age-sex-IMD"
"positivetest"	"model1"	"South Asian"	2.280732	0	2.2240105	2.3389	""	87	"Age-sex-IMD"
"positivetest"	"model1"	"Black"	1.8383497	2.83e-164	1.7597632	1.9204457	""	88	"Age-sex-IMD"
"positivetest"	"model1"	"Mixed"	1.4980065	7.330e-30	1.3970374	1.6062731	""	89	"Age-sex-IMD"
"positivetest"	"model1"	"Other"	1.1834957	1.104e-08	1.1170411	1.2539038	""	90	"Age-sex-IMD"
"positivetest"	"model2"	"White"	1		1	1	""	91	"+ co-morbidities"
"positivetest"	"model2"	"South Asian"	1.9996046	0	1.9389636	2.0621422	""	92	"+ co-morbidities"
"positivetest"	"model2"	"Black"	1.7220892	1.041e-95	1.6359394	1.8127757	""	93	"+ co-morbidities"
"positivetest"	"model2"	"Mixed"	1.5205243	5.398e-23	1.3991622	1.6524133	""	94	"+ co-morbidities"
"positivetest"	"model2"	"Other"	1.4278227	4.585e-23	1.3305235	1.5322372	""	95	"+ co-morbidities"
"positivetest"	"model3"	"White"	1		1	1	""	96	"+ household size"
"positivetest"	"model3"	"South Asian"	1.7774341	5.43e-278	1.7220722	1.8345759	""	97	"+ household size"
"positivetest"	"model3"	"Black"	1.6796362	7.318e-87	1.595403	1.7683167	""	98	"+ household size"
"positivetest"	"model3"	"Mixed"	1.4987958	1.529e-21	1.3791449	1.6288273	""	99	"+ household size"
"positivetest"	"model3"	"Other"	1.3739034	1.197e-18	1.2802138	1.4744496	""	100	"+ household size"
"ae"	"crude"	"White"	1		1	1	""	101	"Crude"
"ae"	"crude"	"South Asian"	.76696195	0	.75729002	.77675741	""	102	"Crude"
"ae"	"crude"	"Black"	.87139437	1.089e-40	.85396792	.88917642	""	103	"Crude"
"ae"	"crude"	"Mixed"	.86241219	2.800e-24	.8381495	.88737722	""	104	"Crude"
"ae"	"crude"	"Other"	.58124133	0	.56672721	.59612715	""	105	"Crude"
"ae"	"model0"	"White"	1		1	1	""	106	"Age-sex"
"ae"	"model0"	"South Asian"	.91781165	1.359e-36	.90568191	.93010384	""	107	"Age-sex"
"ae"	"model0"	"Black"	1.0590436	4.409e-08	1.0375113	1.0810228	""	108	"Age-sex"
"ae"	"model0"	"Mixed"	.99035315	.50810329	.96232562	1.019197	""	109	"Age-sex"
"ae"	"model0"	"Other"	.67879969	3.07e-194	.66168217	.69636003	""	110	"Age-sex"
"ae"	"model1"	"White"	1		1	1	""	111	"Age-sex-IMD"
"ae"	"model1"	"South Asian"	.8485035	6.70e-127	.8371788	.85998139	""	112	"Age-sex-IMD"
"ae"	"model1"	"Black"	.94971193	1.082e-06	.93021823	.96961414	""	113	"Age-sex-IMD"
