eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"hes_30"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.eth5"	"Eth 5 categories"	.52201474	.01533991	-22.121426	1.97e-108	.49279851	.55296309	"crude"	"hes"	""
"hes_30"	"3.eth5"	"Eth 5 categories"	.73631285	.03475069	-6.4857853	8.827e-11	.67125798	.80767251	"crude"	"hes"	""
"hes_30"	"4.eth5"	"Eth 5 categories"	.56793765	.04570574	-7.0299076	2.067e-12	.48506371	.66497074	"crude"	"hes"	""
"hes_30"	"5.eth5"	"Eth 5 categories"	.65565473	.0423351	-6.5374974	6.256e-11	.57771521	.74410907	"crude"	"hes"	""
"hes_30"	"6.eth5"	"Eth 5 categories"	.93827062	.01919701	-3.1142171	.00184434	.90138959	.97666066	"crude"	"hes"	""
"hes_30"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.stp"	"Sustainability and Transformation Partnership"	.45420217	.26318171	-1.3620331	.17318745	.14589191	1.4140579	"crude"	"hes"	""
"hes_30"	"3.stp"	"Sustainability and Transformation Partnership"	.41145821	.23869374	-1.5308092	.12581655	.13198652	1.2826905	"crude"	"hes"	""
"hes_30"	"4.stp"	"Sustainability and Transformation Partnership"	.41339151	.24091279	-1.5157916	.12957205	.13191846	1.2954408	"crude"	"hes"	""
"hes_30"	"5.stp"	"Sustainability and Transformation Partnership"	.39866619	.23332691	-1.5712963	.11611384	.12659823	1.2554262	"crude"	"hes"	""
"hes_30"	"6.stp"	"Sustainability and Transformation Partnership"	.38105556	.22090883	-1.6642442	.09606363	.12232702	1.1870096	"crude"	"hes"	""
"hes_30"	"7.stp"	"Sustainability and Transformation Partnership"	.48341254	.28568119	-1.2299909	.21870051	.15180473	1.5393966	"crude"	"hes"	""
"hes_30"	"8.stp"	"Sustainability and Transformation Partnership"	.71439597	.41451454	-.57962779	.56216565	.22911084	2.227575	"crude"	"hes"	""
"hes_30"	"9.stp"	"Sustainability and Transformation Partnership"	.47861854	.27847476	-1.2664369	.20535669	.15301524	1.4970777	"crude"	"hes"	""
"hes_30"	"10.stp"	"Sustainability and Transformation Partnership"	.61325325	.3560387	-.84223125	.39965853	.19654167	1.913485	"crude"	"hes"	""
"hes_30"	"11.stp"	"Sustainability and Transformation Partnership"	.47372805	.27473119	-1.2882869	.19764612	.15201557	1.4762848	"crude"	"hes"	""
"hes_30"	"12.stp"	"Sustainability and Transformation Partnership"	1.0175226	.59197798	.0298579	.97618038	.32533362	3.1824323	"crude"	"hes"	""
"hes_30"	"13.stp"	"Sustainability and Transformation Partnership"	1.1338496	.65884942	.21618376	.82884451	.36303222	3.5413244	"crude"	"hes"	""
"hes_30"	"14.stp"	"Sustainability and Transformation Partnership"	.815552	.47370699	-.35102495	.72556963	.26123893	2.5460411	"crude"	"hes"	""
"hes_30"	"15.stp"	"Sustainability and Transformation Partnership"	.52632196	.30562761	-1.1053178	.26902192	.16864403	1.6426007	"crude"	"hes"	""
